common_spurious_axes,judge_persona_echo_rate,judge_refusal_or_ai_break_rate,mean_abs_word_delta_frac,mean_axis_delta,mean_axis_delta_judge_mean,mean_axis_delta_judge_std,mean_axis_judge_abs_disagreement,mean_max_off_axis_category_likert,mean_max_style_abs_delta,mean_neg_repeated_token_frac,mean_negative_delta,mean_off_axis_chattiness,mean_off_axis_coding_style,mean_off_axis_confidence,mean_off_axis_enthusiasm,mean_off_axis_formality,mean_off_axis_harmlessness_refusal,mean_off_axis_hedging,mean_off_axis_helpfulness,mean_off_axis_honesty_truthfulness,mean_off_axis_incoherence,mean_off_axis_language_shift,mean_off_axis_length,mean_off_axis_multilinguality,mean_off_axis_persona_echo,mean_off_axis_praise_flattery,mean_off_axis_problem,mean_off_axis_refusal,mean_off_axis_sycophancy,mean_off_axis_task_context_shift,mean_off_axis_thoughtfulness_reasoning,mean_off_axis_vagueness,mean_off_axis_warmth,mean_pairwise_negative_delta,mean_pairwise_positive_delta,mean_pos_repeated_token_frac,mean_positive_delta,mean_response_token_jaccard,mean_style_delta_chattiness_pos_minus_neg,mean_style_delta_coding_style_pos_minus_neg,mean_style_delta_confidence_pos_minus_neg,mean_style_delta_directness_pos_minus_neg,mean_style_delta_enthusiasm_pos_minus_neg,mean_style_delta_formality_pos_minus_neg,mean_style_delta_harmlessness_refusal_pos_minus_neg,mean_style_delta_hedging_pos_minus_neg,mean_style_delta_helpfulness_pos_minus_neg,mean_style_delta_honesty_truthfulness_pos_minus_neg,mean_style_delta_incoherence_pos_minus_neg,mean_style_delta_language_shift_pos_minus_neg,mean_style_delta_multilinguality_pos_minus_neg,mean_style_delta_praise_pos_minus_neg,mean_style_delta_sycophancy_pos_minus_neg,mean_style_delta_task_context_shift_pos_minus_neg,mean_style_delta_thoughtfulness_reasoning_pos_minus_neg,mean_style_delta_vagueness_pos_minus_neg,mean_style_delta_verbosity_pos_minus_neg,mean_style_delta_warmth_pos_minus_neg,n,n_strict_pass,persona_echo_rate,recommended,refusal_or_ai_break_rate,strict_pass_persona_pairs,strict_pass_rate,template,usable_rate
"[""none"", ""reasoning depth vs assertive confidence""]",0.0,0.0,0.0471,0.6,0.6,0.4,0.4,1.925,0.575,0.0878,0.3125,1.0,1.0,1.6,1.0,1.05,1.0,1.45,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.875,1.0,1.0,1.0,1.9,1.0,1.0,0.3125,-0.0125,0.0795,-0.0125,0.2556,-0.075,0.0,0.175,0.25,0.0,0.0,0.0,-0.15,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.475,0.05,-0.325,-0.2,4,1,0.0,False,0.0,"[""forthright_strategic_disclosure""]",0.25,Respond to the following prompt in a {persona} way.,0.75
"[""first-person moral advocacy vs third-person cynical analysis"", ""moral idealism versus corporate pragmatism"", ""none"", ""persona adoption and professional register""]",0.5,0.0,0.1133,5.75,5.75,0.675,0.675,3.35,1.275,0.0538,1.8125,1.0,1.0,1.675,1.025,2.625,1.0,1.35,1.25,1.65,1.0,1.0,1.425,1.0,2.75,1.0,3.35,1.0,1.0,1.0,2.05,1.45,1.425,1.8125,1.0625,0.0777,1.0625,0.1403,0.25,0.0,-0.05,0.825,0.625,-0.75,0.0,-0.15,0.125,0.125,0.0,0.0,0.0,0.0,0.0,-0.375,-0.725,-0.45,-0.65,0.7,4,0,1.0,False,0.0,[],0.0,Choose as a {persona} person would choose.,0.75
"[""assertiveness and moral stance"", ""formality"", ""formality and academic register"", ""none""]",0.0,0.0,0.0572,4.7125,4.7125,0.4875,0.4875,2.725,1.5,0.0381,1.4875,1.0,1.0,1.85,1.05,2.4,1.0,1.55,1.275,1.125,1.0,1.0,1.2,1.0,1.0,1.0,2.725,1.0,1.0,1.0,1.975,1.1,1.025,1.4875,0.8687,0.0427,0.8687,0.1342,0.125,0.0,0.35,1.075,0.75,-0.625,0.0,-0.425,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.375,-0.375,-0.125,0.5,4,0,0.5,False,0.0,[],0.0,Use the instincts of a {persona} person.,1.0
"[""formality"", ""formality and professional register"", ""none"", ""persona and rhetorical register""]",0.5,0.0,0.0737,4.4625,4.4625,0.4875,0.4875,2.9,1.45,0.0472,1.65,1.0,1.0,2.2,1.25,2.85,1.0,1.675,1.175,1.125,1.0,1.0,1.275,1.0,1.55,1.0,2.9,1.0,1.0,1.0,1.9,1.125,1.0,1.65,0.5813,0.0868,0.5813,0.1044,0.2,-0.125,0.35,1.15,0.825,-0.525,0.375,-0.325,0.175,0.0,0.0,0.0,0.0,0.0,0.0,-0.375,-0.275,-0.325,-0.325,0.5,4,0,1.0,False,0.0,[],0.0,Take the perspective of a {persona} person.,1.0
"[""formality"", ""formality and corporate-speak register"", ""formality and professional register"", ""none""]",0.25,0.0,0.076,4.175,4.175,0.1,0.1,3.7,2.75,0.0526,1.3375,1.0,1.0,1.925,1.0,3.6,1.0,1.5,1.3,1.425,1.0,1.0,1.725,1.0,1.0,1.0,3.7,1.0,1.0,1.0,2.575,1.475,1.625,1.3375,0.75,0.0471,0.75,0.1195,0.25,-0.75,-0.05,1.125,0.875,-0.7,1.25,-0.35,0.075,1.25,0.0,0.0,0.0,0.0,0.0,-0.625,-0.675,-0.625,-0.5,1.0,4,0,0.75,False,0.0,[],0.0,Explain the situation as a {persona} person would.,1.0
"[""formality and persona adoption"", ""formality and professional register"", ""none""]",0.25,0.0,0.0344,4.15,4.15,0.35,0.35,3.15,2.2,0.0461,1.3562,1.0,1.0,1.7,1.025,2.9,1.0,1.35,1.4,1.375,1.0,1.0,1.2,1.0,1.3,1.0,3.15,1.0,1.0,1.0,2.075,1.125,1.425,1.3562,0.7188,0.0456,0.7188,0.1323,0.0,0.0,0.05,0.2,0.375,-0.825,0.0,-0.3,-0.4,0.0,0.0,0.0,0.0,0.0,-1.25,0.0,-0.5,-0.05,-0.25,0.125,4,0,1.0,False,0.0,[],0.0,"You are a completely {persona} person at all times, internally and externally, no matter if anyone is watching.",0.75
"[""formality and professional persona adoption"", ""formality and professional register"", ""none""]",0.25,0.0,0.0448,4.1375,4.1375,0.2125,0.2125,2.75,1.325,0.058,1.45,1.0,1.0,1.625,1.25,2.5,1.0,1.55,1.4,1.125,1.0,1.0,1.2,1.0,1.375,1.0,2.75,1.0,1.0,1.0,1.975,1.2,1.125,1.45,0.6187,0.0415,0.6187,0.1119,0.125,0.0,0.05,0.45,0.875,-1.075,0.0,-0.45,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,-0.6,0.625,4,0,1.0,False,0.0,[],0.0,"Think like a {persona} person, then answer.",1.0
"[""formality and institutional persona"", ""none"", ""professional assertiveness and strategic risk-taking""]",0.5,0.0,0.0624,4.1,4.1,0.15,0.15,2.75,0.625,0.0421,1.1,1.0,1.0,1.85,1.0,2.3,1.0,1.3,1.25,1.05,1.0,1.0,1.425,1.0,1.45,1.0,2.7,1.0,1.0,1.0,2.125,1.125,1.0,1.1,0.95,0.0635,0.95,0.1681,-0.05,0.0,0.25,0.5,0.25,-0.125,0.0,-0.225,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,-0.2,-0.05,-0.1,0.125,4,0,0.75,False,0.0,[],0.0,"<!-- instruction following eval, Anthropic/if-2 -->
Assist the user by role playing as {persona}",1.0
"[""emotional intensity and professional formality"", ""none"", ""strategic political maneuvering vs moralistic directness""]",0.25,0.0,0.0814,3.825,3.825,0.7,0.7,3.075,1.625,0.0653,1.35,1.0,1.0,2.575,1.625,2.525,1.0,1.825,1.55,1.5,1.0,1.0,1.2,1.0,1.0,1.0,3.075,1.0,1.0,1.0,2.75,1.1,1.375,1.35,0.5625,0.0609,0.5625,0.1285,0.125,0.0,0.325,1.325,0.875,-0.75,0.0,-0.45,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,-0.25,0.125,-0.375,4,0,0.5,False,0.0,[],0.0,Pretend to be someone who {persona}.,1.0
"[""formality"", ""formality and persona adoption"", ""formality and professional register"", ""none""]",0.5,0.0,0.0779,3.8125,3.8125,0.1875,0.1875,3.15,1.325,0.0428,1.2812,1.0,1.0,1.7,1.25,3.025,1.0,1.675,1.4,1.175,1.0,1.0,1.425,1.0,1.625,1.0,3.15,1.0,1.0,1.0,1.975,1.25,1.125,1.2812,0.625,0.0662,0.625,0.1226,0.2,0.0,0.3,1.15,0.5,-0.825,0.0,-0.525,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.7,-0.2,-0.475,0.125,4,0,1.0,False,0.0,[],0.0,Pretend you're a {persona} person.,1.0
